Komoditas,Tahun,Bulan,Harga
Cabai Merah Keriting,2021,September,Rp28.052
Cabai Rawit Merah,2021,September,Rp35.584
 Daging Sapi Murni,2021,September,Rp125.214
 Daging Ayam Ras,2021,September,Rp34.391
 Telur Ayam Ras,2021,September,Rp23.474
 Gula Pasir Lokal/Curah,2021,September,Rp13.277
 Tepung Terigu Curah,2021,September,Rp8.488
 Minyak Goreng Kemasan,2021,September,Rp15.244
Beras Premium,2021,Oktober,Rp12.333
Beras Medium,2021,Oktober,Rp10.823
Kedelai Biji Kering,2021,Oktober,Rp11.811
Bawang Merah,2021,Oktober,Rp28.004
Bawang Putih (Bonggol),2021,Oktober,Rp28.351
Cabai Merah Keriting,2021,Oktober,Rp32.515
Cabai Rawit Merah,2021,Oktober,Rp36.846
 Daging Sapi Murni,2021,Oktober,Rp125.353
 Daging Ayam Ras,2021,Oktober,Rp35.184
 Telur Ayam Ras,2021,Oktober,Rp22.611
 Gula Pasir Lokal/Curah,2021,Oktober,Rp13.289
 Tepung Terigu Curah,2021,Oktober,Rp8.502
 Minyak Goreng Kemasan,2021,Oktober,Rp15.938
Beras Premium,2021,November,Rp12.331
Beras Medium,2021,November,Rp10.819
Kedelai Biji Kering,2021,November,Rp11.822
Bawang Merah,2021,November,Rp26.510
Bawang Putih (Bonggol),2021,November,Rp27.976
Cabai Merah Keriting,2021,November,Rp38.338
Cabai Rawit Merah,2021,November,Rp35.465
 Daging Sapi Murni,2021,November,Rp125.497
 Daging Ayam Ras,2021,November,Rp35.118
 Telur Ayam Ras,2021,November,Rp24.069
 Gula Pasir Lokal/Curah,2021,November,Rp13.332
 Tepung Terigu Curah,2021,November,Rp8.576
 Minyak Goreng Kemasan,2021,November,Rp17.748
Beras Premium,2021,Desember,Rp12.378
Beras Medium,2021,Desember,Rp10.847
Kedelai Biji Kering,2021,Desember,Rp11.898
Bawang Merah,2021,Desember,Rp26.854
Bawang Putih (Bonggol),2021,Desember,Rp28.129
Cabai Merah Keriting,2021,Desember,Rp45.231
Cabai Rawit Merah,2021,Desember,Rp72.410
 Daging Sapi Murni,2021,Desember,Rp126.181
 Daging Ayam Ras,2021,Desember,Rp35.497
 Telur Ayam Ras,2021,Desember,Rp25.943
 Gula Pasir Lokal/Curah,2021,Desember,Rp13.392
 Tepung Terigu Curah,2021,Desember,Rp8.688
 Minyak Goreng Kemasan,2021,Desember,Rp19.064
 Beras Premium,2022,Januari,Rp12.438
 Beras Medium,2022,Januari,Rp10.902
 Kedelai Biji Kering,2022,Januari,Rp12.108
 Bawang Merah,2022,Januari,Rp28.672
 Bawang Putih (Bonggol),2022,Januari,Rp28.882
 Cabai Merah Keriting,2022,Januari,Rp37.987
Cabai Rawit Merah,2022,Januari,Rp60.194
 Daging Sapi Murni,2022,Januari,Rp126.545
 Daging Ayam Ras,2022,Januari,Rp37.787
 Telur Ayam Ras,2022,Januari,Rp27.384
 Gula Pasir Lokal/Curah,2022,Januari,Rp13.844
 Tepung Terigu Curah,2022,Januari,Rp8.948
 Minyak Goreng Kemasan,2022,Januari,Rp19.692
 Minyak Goreng Curah,2022,Januari,-
 Jagung Tk. Peternak,2022,Januari,-
 Beras Premium,2022,Februari,Rp12.390
 Beras Medium,2022,Februari,Rp10.880
 Kedelai Biji Kering,2022,Februari,Rp12.378
 Bawang Merah,2022,Februari,Rp31.832
 Bawang Putih (Bonggol),2022,Februari,Rp29.113
 Cabai Merah Keriting,2022,Februari,Rp37.902
Cabai Rawit Merah,2022,Februari,Rp49.521
 Daging Sapi Murni,2022,Februari,Rp126.336
 Daging Ayam Ras,2022,Februari,Rp35.962
 Telur Ayam Ras,2022,Februari,Rp24.036
 Gula Pasir Lokal/Curah,2022,Februari,Rp14.197
 Tepung Terigu Curah,2022,Februari,Rp9.138
 Minyak Goreng Kemasan,2022,Februari,Rp18.228
 Minyak Goreng Curah,2022,Februari,-
 Jagung Tk. Peternak,2022,Februari,-
 Beras Premium,2022,Maret,Rp12.433
 Beras Medium,2022,Maret,Rp10.919
 Kedelai Biji Kering,2022,Maret,Rp13.057
 Bawang Merah,2022,Maret,Rp35.044
 Bawang Putih (Bonggol),2022,Maret,Rp30.453
 Cabai Merah Keriting,2022,Maret,Rp48.708
Cabai Rawit Merah,2022,Maret,Rp62.015
